                  epoch,    train/box_loss, train/cls_loss,    train/dfl_loss,metrics/precision(B),  metrics/recall(B), metrics/mAP50(B),metrics/mAP50-95(B), val/box_loss,val/cls_loss, val/dfl_loss, lr/pg0, lr/pg1,  lr/pg2
1,3.3114,4.5309,4.2301,0.00106,0.31707,0.03091,0.00795,3.0248,4.7461,4.1325,0.00032456,0.00032456,0.00032456
2,3.2721,4.3762,4.1031,0.00148,0.3175,0.01236,0.00356,3.0626,5.0788,3.9444,0.00065138,0.00065138,0.00065138
3,3.1908,4.1118,3.9188,0.83439,0.16667,0.00546,0.00186,3.0225,12.212,4.4093,0.0009716,0.0009716,0.0009716
4,3.0051,3.9385,3.6648,0.24935,0.21638,0.04419,0.01132,2.8009,7.3556,3.7696,0.0009703,0.0009703,0.0009703
5,2.9287,3.7599,3.4609,0.27888,0.25618,0.07196,0.02208,2.7967,7.1852,3.8939,0.0009703,0.0009703,0.0009703
6,2.7892,3.5239,3.3081,0.64077,0.10305,0.10888,0.0335,2.6373,4.8963,3.3905,0.0009604,0.0009604,0.0009604
7,2.7145,3.4498,3.1919,0.3337,0.3046,0.13483,0.04248,2.6663,5.1219,3.4408,0.0009505,0.0009505,0.0009505
8,2.6257,3.3041,3.0917,0.17897,0.47295,0.14246,0.04267,2.5111,5.7398,3.2959,0.0009406,0.0009406,0.0009406
9,2.5512,3.1213,2.9675,0.71802,0.19926,0.26002,0.0823,2.5631,5.1724,3.1985,0.0009307,0.0009307,0.0009307
10,2.4356,3.0834,2.9128,0.58099,0.27614,0.27125,0.08992,2.5738,4.4523,3.2429,0.0009208,0.0009208,0.0009208
11,2.3799,2.9813,2.8092,0.37698,0.3648,0.32161,0.1216,2.2415,3.2192,2.9451,0.0009109,0.0009109,0.0009109
12,2.3376,2.9273,2.8083,0.40604,0.37685,0.33119,0.12589,2.2811,2.9393,2.9416,0.000901,0.000901,0.000901
13,2.3054,2.7967,2.7041,0.35407,0.44491,0.32845,0.14001,2.0758,3.1752,2.7698,0.0008911,0.0008911,0.0008911
14,2.2097,2.74,2.6274,0.27195,0.48229,0.32448,0.13185,2.1691,3.4239,2.8262,0.0008812,0.0008812,0.0008812
15,2.1559,2.6106,2.5682,0.35188,0.48449,0.40362,0.15947,2.0489,3.0877,2.7336,0.0008713,0.0008713,0.0008713
16,2.1309,2.584,2.5308,0.45451,0.52909,0.46029,0.19929,1.9609,2.7325,2.6662,0.0008614,0.0008614,0.0008614
17,2.0666,2.5354,2.4801,0.55857,0.51308,0.47522,0.19599,1.9223,2.7787,2.6113,0.0008515,0.0008515,0.0008515
18,2.0289,2.4554,2.468,0.43746,0.4964,0.43222,0.16725,2.0059,2.5779,2.6745,0.0008416,0.0008416,0.0008416
19,2.0157,2.3895,2.428,0.53116,0.51694,0.54257,0.26372,1.7897,2.4489,2.4684,0.0008317,0.0008317,0.0008317
20,1.9639,2.3399,2.3794,0.46356,0.55043,0.5321,0.24294,1.8906,2.3088,2.5159,0.0008218,0.0008218,0.0008218
21,1.9303,2.3165,2.3564,0.5391,0.51689,0.5231,0.24315,1.7329,2.4657,2.4472,0.0008119,0.0008119,0.0008119
22,1.8849,2.1966,2.3219,0.59329,0.60416,0.601,0.29618,1.7555,2.2404,2.4785,0.000802,0.000802,0.000802
23,1.8223,2.1756,2.3043,0.70207,0.44055,0.57532,0.2815,1.7491,2.5139,2.4094,0.0007921,0.0007921,0.0007921
24,1.8229,2.1165,2.2486,0.54338,0.5558,0.56692,0.29051,1.7048,2.0652,2.3585,0.0007822,0.0007822,0.0007822
25,1.7949,2.0574,2.2294,0.6696,0.60175,0.69287,0.35387,1.6191,1.9174,2.2924,0.0007723,0.0007723,0.0007723
26,1.7669,1.9628,2.1705,0.64332,0.6279,0.65082,0.34146,1.6652,1.8626,2.3214,0.0007624,0.0007624,0.0007624
27,1.7972,2.0544,2.2194,0.61295,0.66958,0.7053,0.36053,1.694,1.8942,2.313,0.0007525,0.0007525,0.0007525
28,1.7012,1.9122,2.1387,0.64949,0.62535,0.65891,0.34896,1.6037,1.8112,2.2595,0.0007426,0.0007426,0.0007426
29,1.7048,1.9069,2.1296,0.67327,0.69754,0.71077,0.36686,1.575,1.9021,2.2214,0.0007327,0.0007327,0.0007327
30,1.7232,1.94,2.149,0.59926,0.61135,0.64392,0.35488,1.5526,1.7723,2.2388,0.0007228,0.0007228,0.0007228
31,1.6645,1.8311,2.1032,0.6607,0.67415,0.72657,0.39232,1.5951,1.6909,2.2597,0.0007129,0.0007129,0.0007129
32,1.7125,1.8288,2.1095,0.67716,0.69191,0.74168,0.39387,1.5512,1.7494,2.2033,0.000703,0.000703,0.000703
33,1.6329,1.7907,2.086,0.66254,0.72819,0.7391,0.3941,1.5686,1.7592,2.1899,0.0006931,0.0006931,0.0006931
34,1.6586,1.7978,2.0806,0.58379,0.78212,0.72482,0.39877,1.5225,1.7071,2.1678,0.0006832,0.0006832,0.0006832
35,1.6252,1.7386,2.0303,0.71906,0.7315,0.73685,0.40208,1.4979,1.5916,2.1432,0.0006733,0.0006733,0.0006733
36,1.6484,1.7324,2.0616,0.66967,0.71768,0.7408,0.40205,1.5126,1.6863,2.1328,0.0006634,0.0006634,0.0006634
37,1.608,1.712,2.046,0.66308,0.73098,0.77661,0.43897,1.5139,1.5502,2.1346,0.0006535,0.0006535,0.0006535
38,1.5645,1.6816,2.0083,0.65045,0.73612,0.75933,0.42324,1.4925,1.617,2.0965,0.0006436,0.0006436,0.0006436
39,1.5986,1.621,1.98,0.74256,0.73387,0.78577,0.44109,1.5207,1.5537,2.1258,0.0006337,0.0006337,0.0006337
40,1.5958,1.6587,2.0204,0.74078,0.76378,0.80571,0.45923,1.4575,1.4467,2.0944,0.0006238,0.0006238,0.0006238
